word,count
演唱会,77
黑色,77
越来越,77
越来,77
乱说,77
轰炸,77
100,77
距离,77
鼻子,77
推,76
很大,76
图,76
咋样,76
肠粉,76
此言,76
14,76
一年,75
变得,75
床,75
熟,75
好烦,75
海底,75
疼,75
公里,75
♀,75
关,75
小时候,74
《,74
一眼,74
吓人,74
粿,74
进来,74
进,74
一块,74
转移,74
给我发,74
转,74
表现,74
合适,74
儿子,74
五分钟,74
何出,74
（,73
排队,73
十二,73
对象,73
点多,73
没理,73
得意,73
姨妈,73
房子,73
好听,73
胃口,73
惹,73
要死,73
蹲,73
介绍,72
哪种,72
生,72
通知,72
感,72
无敌,72
休,72
梦见,72
七八,72
痒,72
卖,71
你别,71
区别,71
技术,71
小心,71
屁,71
18,71
譬如,71
身上,71
单纯,71
提醒,71
控制,71
外边,71
炸弹,71
喝茶,71
）,70
社死,70
想着,70
雨,70
一只,70
晒,70
一觉,70
西,70
麻辣烫,69
这么久,69
喝酒,69
胃,69
达,69
垃圾,69
一种,69
喝水,69
一小,69
der,69
负责,69
这次,69
打麻将,69
红包,69
究纪心,68
二点,68
苦,68
卡,68
吵,68
到底,68
好哇,68
大哥,68
一套,68
放假,68
湿,68
培训,68
天河,68
不爽,68
思考,68
故事,67
准时,67
下周,67
骗人,67
鸡蛋,67
烦人,67
b,67
甜,67
鬼,67
淘宝,67
紧张,67
蹲坑,67
金,66
头像,66
十二点,66
办公,66
生日,66
带你去,66
理由,66
安排,66
刷牙,66
憋,66
16,66
十一,66
毛,66
州市,66
暧昧,66
妈妈,65
大事,65
暴力,65
真棒,65
我能,65
好点,65
难道,65
汤,65
饼,65
离谱,65
女孩子,65
干净,65
一段,65
圆圆,65
yby,65
奇奇怪怪,64
奇奇,64
吹水,64
都还没,64
五点,64
改天,64
提,64
报销,64
骂人,64
毕竟,64
米,64
吼,64
泡,64
卷,64
下头,64
半小时,64
指定,63
多个,63
没想到,63
安慰,63
打卡,63
状态,63
塞,63
只会,63
不大,63
拉屎,63
🤨,63
人生,62
男生,62
不太,62
形象,62
社恐,62
打死,62
两点,62
拍照,62
颜色,62
钥匙,62
难说,61
可惜,61
换个,61
门,61
对面,61
我先,61
踩,61
没什么,61
身份,61
店里,61
网上,61
告诉,60
娱乐,60
一个多,60
老家,60
大半,60
拆,60
17,60
方式,60
乖,60
24,60
开门,60
你家,60
口罩,59
空气,59
不带,59
高中,59
降温,59
小小,59
这句,59
岁,59
多一点,59
广州市,59
不准,59
电梯,59
检查,59
耐心,59
白,59
正经,58
帮忙,58
懵,58
爸爸,58
牙,58
暂时,58
楼,58
猥琐,58
瞬间,58
发生,58
十一点,58
打字,58
难吃,58
效果,58
放弃,58
我爸,58
不冷,58
这话,58
闭嘴,58
好滴,58
问问,57
@,57
养,57
一条,57
没点,57
第一个,57
运动,57
次,57
形容,57
出去玩,57
就让,57
年轻,57
后悔,57
鞋子,57
慢,57
内裤,57
多好,56
看个,56
熬夜,56
说起,56
等到,56
票,56
撒娇,56
白天,56
不发,56
整天,56
这家,56
乐意,56
套路,56
你老,56
开发,56
借,56
不看,56
高铁,56
房,56
aa,56
油,55
不开,55
直播,55
在意,55
对劲,55
我错,55
关注,55
还会,55
完美,55
研究,55
鞋,55
白色,55
粮,55
面子,55
解释,55
三天,54
种,54
金金,54
活,54
一份,54
说完,54
大雨,54
不配,54
滚,54
早上好,54
上好,54
13,54
暖,54
拉肚子,54
耶,53
四个,53
呼吸,53
猫咪,53
耳朵,53
初中,53
代码,53
爆,53
有用,53
妹妹,53
不像,53
梗,53
学校,53
没回,53
低,53
沟通,53
张,53
偶尔,53
好了吗,53
度,53
不痛,53
做好,53
在乎,53
大声,53
好痛,53
之间,52
教,52
味,52
实在,52
风,52
纠结,52
看吧,52
调休,52
摸鱼,52
坐地,52
坐地铁,52
哪家,52
算是,52
晾,52
不对,52
滴,52
重,52
矛盾,52
年纪,52
相亲,52
大半夜,52
礼貌,52
更好,52
凉拌,52
乱七八糟,52
硬,52
桌子,52
人设,51
备注,51
麦当劳,51
隔壁,51
打个,51
小学,51
日常,51
很烦,51
值得,51
扑街,51
爸,51
减,51
25,51
从来,51
活动,51
取消,51
肚子痛,51
🥹,51
好想你,51
测试,50
首歌,50
艾特,50
学生,50
=,50
冰,50
毕业,50
实不相,50
相瞒,50
实不相瞒,50
浪费,50
心理,50
立刻,50
不对劲,50
真实,50
想见,50
关心,50
帽子,50
爱心,50
矜持,50
冷淡,50
咖喱,50
一遍,49
日志,49
番茄,49
老师,49
几次,49
证明,49
二十,49
热闹,49
错过,49
群聊,49
海珠,49
嘴,49
🐷,49
发了,49
不动,49
这人,49
勇,49
罐头,49
烟花,49
冷漠,49
一次性,49
出口,48
自信,48
点半,48
不说,48
没见,48
姐,48
咋会,48
身边,48
分手,48
🐶,48
唱,48
荨,48
丨,48
拖,48
不出意外,48
没意思,48
眼镜,48
捏,48
88,48
尝试,48
吃点,48
多点,48
乖乖,48
冰箱,48
pp,48
十几分,48
十几分钟,48
水果,48
mm,48
蛮,48
摆烂,47
一秒,47
一声,47
记,47
香,47
烦死,47
夹,47
温柔,47
情侣,47
里人,47
内,47
卫生,47
吹头,47
弄完,47
茶,47
太累,47
打呼,47
心痛,47
尿,47
洗衣,47
我用,46
姐姐,46
介意,46
带点,46
调,46
越,46
熬,46
祝,46
份,46
观察,46
不在,46
想不到,46
很久没,46
态度,46
消息,46
舔,46
买点,46
不爱,46
不肯,46
少来,46
需求,46
滴滴,46
吹头发,46
风扇,46
爸妈,46
妹,46
不累,46
酸辣粉,46
酸辣,46
听话,46
碗,46
误会,46
冷暴力,45
大学,45
